Method,Name,Error,Occurrences
GET,/result/a105b167-6a50-4057-89f0-5cdedb148435,RemoteDisconnected('Remote end closed connection without response'),1
GET,/result/2a192741-bf16-43a1-9f09-407beabc09e6,RemoteDisconnected('Remote end closed connection without response'),1
GET,/result/3b330024-871e-4ea2-88f1-4f8ceda3b02c,RemoteDisconnected('Remote end closed connection without response'),1
POST,/upload,RemoteDisconnected('Remote end closed connection without response'),15
GET,/result/b7d5f410-0c8b-4731-ba7e-da00f3b59378,RemoteDisconnected('Remote end closed connection without response'),1
GET,/result/49916561-55f1-47b1-8da4-d79a216e0847,RemoteDisconnected('Remote end closed connection without response'),1
POST,/upload,"ConnectionResetError(104, 'Connection reset by peer')",11
GET,/result/41a05317-2042-4e8a-8c1b-b24eb51d272c,RemoteDisconnected('Remote end closed connection without response'),1
GET,/result/bb357248-3a72-4ae3-ad71-787b4d6f7e90,"ConnectionResetError(104, 'Connection reset by peer')",1
GET,/result/0d41b817-d2f2-48fa-8d32-2f9580c6f888,"ConnectionResetError(104, 'Connection reset by peer')",1
