Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/result/0116e7f1-bb08-4007-98c6-b0e6372d6a00,1,0,2764.754145999177,2764.754145999177,2764.754145999177,2764.754145999177,161.0,0.01874631883219524,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,/result/0241098b-c12b-4703-859c-84395f302f4f,1,0,2196.15606500156,2196.15606500156,2196.15606500156,2196.15606500156,20.0,0.01874631883219524,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/result/02aef60b-fd27-406e-b87a-062386d381e5,1,0,2486.91563200191,2486.91563200191,2486.91563200191,2486.91563200191,161.0,0.01874631883219524,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/result/02d4b00b-9694-4003-9e00-ec05a4ad6b0a,1,0,4440.701417999662,4440.701417999662,4440.701417999662,4440.701417999662,16.0,0.01874631883219524,0.0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
GET,/result/0315072d-7c49-45b6-ae9b-1c2084a110b0,1,0,3122.531719000108,3122.531719000108,3122.531719000108,3122.531719000108,20.0,0.01874631883219524,0.0,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
GET,/result/037ccdae-0a1a-4be8-bedf-2dbc3ee93237,1,0,4389.37715299835,4389.37715299835,4389.37715299835,4389.37715299835,20.0,0.01874631883219524,0.0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
GET,/result/03988ac3-6a53-49e6-ad65-741c924e59be,1,0,3227.645751001546,3227.645751001546,3227.645751001546,3227.645751001546,20.0,0.01874631883219524,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
GET,/result/053e7d0d-8410-4ba7-b18f-3e9cfa4a6c57,1,0,4540.893715002312,4540.893715002312,4540.893715002312,4540.893715002312,161.0,0.01874631883219524,0.0,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
GET,/result/059af078-a291-415d-8872-f1174a095c35,1,0,2874.77595600285,2874.77595600285,2874.77595600285,2874.77595600285,16.0,0.01874631883219524,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
GET,/result/069b6824-4b67-4593-8ee5-90fa16d76aef,1,0,3134.4296539973584,3134.4296539973584,3134.4296539973584,3134.4296539973584,16.0,0.01874631883219524,0.0,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
GET,/result/07a78777-fb0c-40e4-8e25-75eb2a066c49,1,0,3911.9586209999397,3911.9586209999397,3911.9586209999397,3911.9586209999397,16.0,0.01874631883219524,0.0,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900
GET,/result/07b71a53-6516-4959-91ef-ad822e6a7340,1,0,1904.4185899983859,1904.4185899983859,1904.4185899983859,1904.4185899983859,20.0,0.01874631883219524,0.0,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
