Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1728473832,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1728473833,5,,Aggregated,0.000000,0.000000,500,530,530,560,560,560,560,560,560,560,560,5,0,500.0,362.526944399724,95.32426000077976,557.0558730032644,50.0
1728473834,10,,Aggregated,0.000000,0.000000,120,150,200,500,530,560,560,560,560,560,560,15,0,120.0,183.29295399986827,16.294985998683842,557.0558730032644,45.733333333333334
1728473835,15,,Aggregated,2.000000,0.000000,140,170,200,200,500,530,560,560,560,560,560,26,0,130.0,167.6619341533996,16.294985998683842,557.0558730032644,41.0
1728473836,20,,Aggregated,6.000000,0.000000,170,230,380,420,490,520,560,560,560,560,560,42,0,160.0,227.28854945221212,16.294985998683842,557.0558730032644,39.57142857142857
1728473837,25,,Aggregated,8.333333,0.000000,170,330,410,420,490,520,560,560,560,560,560,47,0,170.0,233.04349308486093,16.294985998683842,557.0558730032644,39.95744680851064
1728473838,30,,Aggregated,7.750000,0.000000,380,520,770,920,1200,1200,1400,1400,1400,1400,1400,67,0,380.0,476.7321803431772,16.294985998683842,1372.9506050003693,43.865671641791046
1728473839,35,,Aggregated,9.000000,0.000000,330,520,780,920,1200,1300,1400,1400,1400,1400,1400,93,0,330.0,485.02709791399116,16.294985998683842,1372.9506050003693,44.67741935483871
1728473841,40,,Aggregated,7.833333,0.000000,350,530,690,800,1200,1300,1300,1400,1400,1400,1400,107,0,350.0,482.9845228318463,16.294985998683842,1372.9506050003693,43.54205607476636
1728473842,45,,Aggregated,11.625000,0.000000,430,590,760,860,1200,1300,1300,1400,1400,1400,1400,140,0,430.0,516.9105464716267,16.294985998683842,1372.9506050003693,42.35
1728473843,50,,Aggregated,11.625000,0.000000,430,590,730,830,1200,1300,1300,1400,1400,1400,1400,158,0,430.0,515.1635324243297,16.294985998683842,1372.9506050003693,41.322784810126585
1728473845,50,,Aggregated,15.600000,0.000000,520,770,870,1100,1600,1900,2000,2100,2400,2400,2400,189,0,520.0,675.7633783653781,16.294985998683842,2416.230466002162,40.36507936507937
1728473846,50,,Aggregated,14.600000,0.000000,570,800,1000,1200,1400,1900,2000,2100,2400,2400,2400,217,0,570.0,709.972064654587,16.294985998683842,2416.230466002162,39.8110599078341
1728473847,50,,Aggregated,15.700000,0.000000,570,800,1100,1200,1400,1900,2000,2100,2400,2400,2400,226,0,570.0,712.4248956550427,16.294985998683842,2416.230466002162,40.66814159292036
1728473848,50,,Aggregated,17.700000,0.000000,600,870,1200,1300,1500,1900,2000,2100,2400,2400,2400,240,0,600.0,752.4489399085269,16.294985998683842,2416.230466002162,41.90416666666667
1728473849,50,,Aggregated,17.700000,0.000000,710,1200,1300,1300,1700,1900,2000,2100,2400,2400,2400,267,0,710.0,827.2968642136067,16.294985998683842,2416.230466002162,43.056179775280896
1728473850,50,,Aggregated,18.900000,0.000000,780,1200,1300,1300,1600,1900,2000,2100,2400,2400,2400,292,0,780.0,847.5995980686081,16.294985998683842,2416.230466002162,43.22260273972603
