Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/result/02fa51d3-1e0d-4c73-8ece-1c3252649c15,1,0,86.81533699927968,86.81533699927968,86.81533699927968,86.81533699927968,16.0,0.008487397916792296,0.0,87,87,87,87,87,87,87,87,87,87,87
GET,/result/05ba14eb-5515-44c5-93d0-e9c9050dce3b,1,0,21.231168997474015,21.231168997474015,21.231168997474015,21.231168997474015,16.0,0.008487397916792296,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/result/0b05aac5-ba8e-417b-9408-3021536a192d,1,0,25.25983899977291,25.25983899977291,25.25983899977291,25.25983899977291,16.0,0.008487397916792296,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/result/0cfc7f53-afd5-4a38-bd37-8b841d5294ae,1,0,28.973955999390455,28.973955999390455,28.973955999390455,28.973955999390455,16.0,0.008487397916792296,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/result/120f91d9-78b5-471f-bb32-e702501836dc,1,0,16.353572998923482,16.353572998923482,16.353572998923482,16.353572998923482,16.0,0.008487397916792296,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/result/1239ff50-bd78-49e0-9462-d56861420d86,1,0,17.26883600349538,17.26883600349538,17.26883600349538,17.26883600349538,16.0,0.008487397916792296,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/result/1349ef6f-c7aa-40a3-a111-f3b2d6d13cec,1,0,16.517244999704417,16.517244999704417,16.517244999704417,16.517244999704417,16.0,0.008487397916792296,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/result/14199c7f-47de-42ba-a8fd-62b025ecab93,1,0,16.37947099879966,16.37947099879966,16.37947099879966,16.37947099879966,16.0,0.008487397916792296,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/result/1bbb442d-41af-475c-84f6-1078de73cb13,1,0,28.852508999989368,28.852508999989368,28.852508999989368,28.852508999989368,16.0,0.008487397916792296,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/result/1d66a2ad-a6c9-43a6-a8fd-3ce1ed6d4f08,1,0,26.044287002150668,26.044287002150668,26.044287002150668,26.044287002150668,16.0,0.008487397916792296,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/result/1ea97210-f283-4e04-8c85-23fa4d8f13d0,1,0,25.155311999697005,25.155311999697005,25.155311999697005,25.155311999697005,16.0,0.008487397916792296,0.0,25,25,25,25,25,25,25,25,25,25,25
